artist,year,song,album
"David Bowie",1980,"Ashes to Ashes","Hunky Dory"
"David Bowie",1983,"China Girl","Hunky Dory"
"David Bowie",1976,"Golden Years","Hunky Dory"
"David Bowie",1986,"Absolute Beginners","Hunky Dory"
"David Bowie",1982,"Cat People (Putting Out Fire)","Hunky Dory"
"David Bowie",1984,"Blue Jean","Hunky Dory"
"David Bowie",1983,"Modern Love","Hunky Dory"
"David Bowie",1973,Sorrow,"Hunky Dory"
"David Bowie",1977,Heroes,"Hunky Dory"
"David Bowie",1975,"Young Americans","Hunky Dory"
"David Bowie",1993,"Jump They Say","Hunky Dory"
"David Bowie",1974,"Rebel Rebel","Hunky Dory"
"David Bowie",1980,Fashion,"Hunky Dory"
"Isaac Hayes",1971,"Theme From 'Shaft'",Shaft
"Jimi Hendrix",1968,"All Along the Watchtower","The Cry Of Love"
"Jimi Hendrix",1967,"Purple Haze","The Cry Of Love"
"Jimi Hendrix",1967,"Hey Joe","The Cry Of Love"
"Elton John",1997,"Candle in the Wind '97","Madman Across The Water"
"Elton John",1973,"Crocodile Rock","Madman Across The Water"
"Elton John",1997,"Something About the Way You look Tonight","Madman Across The Water"
"Elton John",1973,"Goodbye Yellow Brick Road","Madman Across The Water"
"Elton John",1994,"Can You Feel the Love Tonight","Madman Across The Water"
"Elton John",1985,Nikita,"Madman Across The Water"
"Elton John",1975,"Philadelphia Freedom","Madman Across The Water"
"Elton John",1973,Daniel,"Madman Across The Water"
"Elton John",1971,"Your Song","Madman Across The Water"
"Elton John",1974,"Bennie & the Jets","Madman Across The Water"
"Elton John",1992,"The One","Madman Across The Water"
"Elton John",1972,"Rocket Man","Madman Across The Water"
"Elton John",1995,Believe,"Madman Across The Water"
"Elton John",1980,"Little Jeannie","Madman Across The Water"
"Elton John",1990,Sacrifice,"Madman Across The Water"
"Elton John",1975,"Island Girl","Madman Across The Water"
"Elton John",1974,"Lucy in the Sky With Diamonds","Madman Across The Water"
"Elton John",1974,"Don't Let the Sun Go Down On Me","Madman Across The Water"
"Elton John",1988,"I Don't Wanna Go On With You Like That","Madman Across The Water"
"Elton John",1983,"I'm Still Standing","Madman Across The Water"
"Elton John",1994,"Circle of Life","Madman Across The Water"
"Elton John",1975,"Someone Saved My Life Tonight","Madman Across The Water"
"Elton John",1990,"You Gotta Love Someone","Madman Across The Water"
"Elton John",1983,"I Guess That's Why They Call it the Blues","Madman Across The Water"
"Elton John",1974,"The Bitch is Back","Madman Across The Water"
"Elton John",1976,"Sorry Seems to Be the Hardest Word","Madman Across The Water"
"Elton John",1982,"Blue Eyes","Madman Across The Water"
"Elton John",1984,"Sad Songs (Say So Much)","Madman Across The Water"
"Elton John",1982,"Empty Garden (Hey Hey Johnny)","Madman Across The Water"
"T Rex",1971,"Get it On","Electric Warrior"
"T Rex",1971,"Hot Love","Electric Warrior"
"T Rex",1972,"Telegram Sam","Electric Warrior"
"T Rex",1972,"Metal Guru","Electric Warrior"
"T Rex",1972,"Children of the Revolution","Electric Warrior"
"The Carpenters",1970,"(They Long to Be) Close to You","The Carpenters"
"The Carpenters",1975,"Please Mr Postman","The Carpenters"
"The Carpenters",1973,"Top of the World","The Carpenters"
"The Carpenters",1973,"Yesterday Once More","The Carpenters"
"The Carpenters",1970,"We've Only Just Begun","The Carpenters"
"The Carpenters",1971,Superstar,"The Carpenters"
"The Carpenters",1972,"Hurting Each Other","The Carpenters"
"The Carpenters",1971,"For All We Know","The Carpenters"
"The Carpenters",1975,"Only Yesterday","The Carpenters"
"The Carpenters",1971,"Rainy Days & Mondays","The Carpenters"
"Joe Cocker",1968,"With a Little Help From My Friends","Cocker Happy"
"Joe Cocker",1975,"You Are So Beautiful","Cocker Happy"
"Joe Cocker",1970,"The Letter","Cocker Happy"
"Lynn Anderson",1971,"I Beg Your Pardon (I Never Promised You a Rose Garden)","Rose Garden"
"Andy Williams",1957,Butterfly,"Love Story"
"Andy Williams",1963,"Can't Get Used to Losing You","Love Story"
"The Partridge Family",1970,"I Think I Love You","Up To Date"
"The Partridge Family",1971,"Doesn't Somebody Want To Be Wanted","Up To Date"
"Cat Stevens",1972,"Morning Has Broken","Teaser & The Firecat"
"Cat Stevens",1970,"Lady D'Arbanville","Teaser & The Firecat"
"Cat Stevens",1974,"Another Saturday Night","Teaser & The Firecat"
"Marvin Gaye",1968,"I Heard it Through the Grapevine","What's Going On?"
"Marvin Gaye",1983,"(Sexual) Healing","What's Going On?"
"Marvin Gaye",1973,"Let's Get it On","What's Going On?"
"Marvin Gaye",1971,"What's Going On?","What's Going On?"
"Marvin Gaye",1971,"Mercy Mercy Me (The Ecology)","What's Going On?"
"Marvin Gaye",1977,"Got to Give it Up","What's Going On?"
"Paul McCartney",1971,"Another Day",Ram
"Paul McCartney",1980,"Coming Up",Ram
"Paul McCartney",1993,"Hope of Deliverance",Ram
"Paul McCartney",1984,"No More Lonely Nights",Ram
"John Lennon",1971,Imagine,"John Lennon & The Plastic Ono Band"
"John Lennon",1980,"(Just Like) Starting Over","John Lennon & The Plastic Ono Band"
"John Lennon",1981,Woman,"John Lennon & The Plastic Ono Band"
"John Lennon",1970,"Instant Karma","John Lennon & The Plastic Ono Band"
"John Lennon",1969,"Give Peace a Chance","John Lennon & The Plastic Ono Band"
"John Lennon",1972,"Happy Xmas (War is Over)","John Lennon & The Plastic Ono Band"
"John Lennon",1971,"Power to the People","John Lennon & The Plastic Ono Band"
"John Lennon",1974,"Whatever Gets You Thru the Night","John Lennon & The Plastic Ono Band"
"John Lennon",1975,"Stand By Me","John Lennon & The Plastic Ono Band"
"John Lennon",1984,"Nobody Told Me","John Lennon & The Plastic Ono Band"
"John Lennon",1981,"Watching the Wheels","John Lennon & The Plastic Ono Band"
"Joni Mitchell",1970,"Big Yellow Taxi",Blue
"Creedence Clearwater Revival",1969,"Proud Mary",Pendulum
"Creedence Clearwater Revival",1970,"Up Around the Bend",Pendulum
"Creedence Clearwater Revival",1969,"Bad Moon Rising",Pendulum
"Creedence Clearwater Revival",1970,"Lookin' Out My Back Door",Pendulum
"Creedence Clearwater Revival",1970,"Travellin' Band",Pendulum
"Creedence Clearwater Revival",1971,"Have You Ever Seen the Rain?",Pendulum
"Creedence Clearwater Revival",1969,"Green River",Pendulum
"Creedence Clearwater Revival",1969,"Down On the Corner",Pendulum
"Creedence Clearwater Revival",1970,"Who'll Stop the Rain",Pendulum
"Creedence Clearwater Revival",1971,"Sweet Hitch-Hiker",Pendulum
"Creedence Clearwater Revival",1969,"Fortunate Son",Pendulum
"Creedence Clearwater Revival",1970,"Long As I Can See the Light",Pendulum
"Cat Stevens",1972,"Morning Has Broken","Tea For The Tillerman"
"Cat Stevens",1970,"Lady D'Arbanville","Tea For The Tillerman"
"Cat Stevens",1974,"Another Saturday Night","Tea For The Tillerman"
"Cat Stevens",1972,"Morning Has Broken","Catch Bull At Four"
"Cat Stevens",1970,"Lady D'Arbanville","Catch Bull At Four"
"Cat Stevens",1974,"Another Saturday Night","Catch Bull At Four"
"Paul Simon",1976,"50 Ways to Leave Your Lover","Paul Simon"
"Paul Simon",1972,"Mother & Child Reunion","Paul Simon"
"Paul Simon",1973,Kodachrome,"Paul Simon"
"Paul Simon",1987,Graceland,"Paul Simon"
"Paul Simon",1986,"You Can Call Me Al","Paul Simon"
"Paul Simon",1977,"Slip Slidin' Away","Paul Simon"
"Elton John",1997,"Candle in the Wind '97","Honky Chateau"
"Elton John",1973,"Crocodile Rock","Honky Chateau"
"Elton John",1997,"Something About the Way You look Tonight","Honky Chateau"
"Elton John",1973,"Goodbye Yellow Brick Road","Honky Chateau"
"Elton John",1994,"Can You Feel the Love Tonight","Honky Chateau"
"Elton John",1985,Nikita,"Honky Chateau"
"Elton John",1975,"Philadelphia Freedom","Honky Chateau"
"Elton John",1973,Daniel,"Honky Chateau"
"Elton John",1971,"Your Song","Honky Chateau"
"Elton John",1974,"Bennie & the Jets","Honky Chateau"
"Elton John",1992,"The One","Honky Chateau"
"Elton John",1972,"Rocket Man","Honky Chateau"
"Elton John",1995,Believe,"Honky Chateau"
"Elton John",1980,"Little Jeannie","Honky Chateau"
"Elton John",1990,Sacrifice,"Honky Chateau"
"Elton John",1975,"Island Girl","Honky Chateau"
"Elton John",1974,"Lucy in the Sky With Diamonds","Honky Chateau"
"Elton John",1974,"Don't Let the Sun Go Down On Me","Honky Chateau"
"Elton John",1988,"I Don't Wanna Go On With You Like That","Honky Chateau"
"Elton John",1983,"I'm Still Standing","Honky Chateau"
"Elton John",1994,"Circle of Life","Honky Chateau"
"Elton John",1975,"Someone Saved My Life Tonight","Honky Chateau"
"Elton John",1990,"You Gotta Love Someone","Honky Chateau"
"Elton John",1983,"I Guess That's Why They Call it the Blues","Honky Chateau"
"Elton John",1974,"The Bitch is Back","Honky Chateau"
"Elton John",1976,"Sorry Seems to Be the Hardest Word","Honky Chateau"
"Elton John",1982,"Blue Eyes","Honky Chateau"
"Elton John",1984,"Sad Songs (Say So Much)","Honky Chateau"
"Elton John",1982,"Empty Garden (Hey Hey Johnny)","Honky Chateau"
"The Moody Blues",1968,"Nights in White Satin","Seventh Sojourn"
"The Moody Blues",1970,Question,"Seventh Sojourn"
"The Moody Blues",1965,"Go Now","Seventh Sojourn"
"Rod Stewart",1971,"Maggie May","Never A Dull Moment"
"Rod Stewart",1979,"Do Ya Think I'm Sexy?","Never A Dull Moment"
"Rod Stewart",1976,"Tonight's the Night (Gonna Be Alright)","Never A Dull Moment"
"Rod Stewart",1983,"Baby Jane","Never A Dull Moment"
"Rod Stewart",1975,Sailing,"Never A Dull Moment"
"Rod Stewart",1991,"Rhythm of My Heart","Never A Dull Moment"
"Rod Stewart",1977,"You're in My Heart (The Final Acclaim)","Never A Dull Moment"
"Rod Stewart",1993,"Have I Told You Lately","Never A Dull Moment"
"Rod Stewart",1981,Passion,"Never A Dull Moment"
"Rod Stewart",1981,"Young Turks","Never A Dull Moment"
"Rod Stewart",1990,"Downtown Train","Never A Dull Moment"
"Rod Stewart",1981,"Tonight I'm Yours (Don't Hurt Me)","Never A Dull Moment"
"Rod Stewart",1991,"The Motown Song","Never A Dull Moment"
"Rod Stewart",1971,"Reason to Believe","Never A Dull Moment"
"Rod Stewart",1972,"You Wear it Well","Never A Dull Moment"
Chicago,1976,"If You Leave Me Now","Chicago V"
Chicago,1982,"Hard to Say I'm Sorry","Chicago V"
Chicago,1989,"Look Away","Chicago V"
Chicago,1970,"25 Or 6 to 4","Chicago V"
Chicago,1985,"You're the Inspiration","Chicago V"
Chicago,1972,"Saturday in the Park","Chicago V"
Chicago,1973,"Just You 'n' Me","Chicago V"
"Alice Cooper",1972,"School's Out","School's Out"
"Alice Cooper",1989,Poison,"School's Out"
"Alice Cooper",1978,"How You Gonna See Me Now","School's Out"
"Alice Cooper",1975,"Only Women Bleed","School's Out"
Yes,1984,"Owner of a Lonely Heart","Close To The Edge"
Yes,1972,Roundabout,"Close To The Edge"
Slade,1973,"Skweeze Me, Pleeze Me","Slade Alive!"
Slade,1973,"Cum On Feel the Noize","Slade Alive!"
Slade,1973,"Merry Xmas Everybody","Slade Alive!"
Slade,1972,"Mama Weer All Crazee Now","Slade Alive!"
Slade,1984,"My Oh My","Slade Alive!"
Slade,1973,"Gudbye T'Jane","Slade Alive!"
Slade,1973,"My Friend Stan","Slade Alive!"
Slade,1971,"Coz I Luv You","Slade Alive!"
Yes,1984,"Owner of a Lonely Heart",Fragile
Yes,1972,Roundabout,Fragile
Santana,2000,"Maria Maria",Caravanserai
Santana,1970,"Black Magic Woman",Caravanserai
Santana,1971,"Oye Como Va",Caravanserai
"Gilbert O'Sullivan",1973,"Get Down","Gilbert O'Sullivan Himself"
"Gilbert O'Sullivan",1972,"Alone Again (Naturally)","Gilbert O'Sullivan Himself"
"Gilbert O'Sullivan",1972,Clair,"Gilbert O'Sullivan Himself"
Wings,1977,"Mull of Kintyre","Wings Wildlife"
Wings,1976,"Silly Love Songs","Wings Wildlife"
Wings,1974,"Band On the Run","Wings Wildlife"
Wings,1973,"My Love","Wings Wildlife"
Wings,1973,"Live & Let Die","Wings Wildlife"
Wings,1975,"Listen to What the Man Said","Wings Wildlife"
Wings,1978,"With a Little Luck","Wings Wildlife"
Wings,1974,Jet,"Wings Wildlife"
Wings,1979,"Goodnight Tonight","Wings Wildlife"
Wings,1971,"Uncle Albert (Admiral Halsey)","Wings Wildlife"
Wings,1976,"Let 'Em In","Wings Wildlife"
Wings,1973,"Hi Hi Hi","Wings Wildlife"
"The Rolling Stones",1965,"(I Can't Get No) Satisfaction","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1973,Angie,"Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1969,"Honky Tonk Woman","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1968,"Jumpin' Jack Flash","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1966,"Paint it Black","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1971,"Brown Sugar","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1978,"Miss You","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1965,"Get Off of My Cloud","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1966,"19th Nervous Breakdown","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1981,"Start Me Up","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1965,"The Last Time","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1967,"Ruby Tuesday","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1967,"Let's Spend the Night Together","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1980,"Emotional Rescue","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1972,"Tumbling Dice","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1989,"Mixed Emotions","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1983,"Undercover of the Night","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1997,"Anybody Seen My Baby","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1964,"Time is On My Side","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1967,"We Love You","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1966,"As Tears Go By","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1966,"Have You Seen Your Mother, Baby","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1967,"She's a Rainbow","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1986,"Harlem Shuffle","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1964,"It's All Over Now","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1994,"Love is Strong","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1974,"It's Only Rock 'n' Roll (But I Like It)","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1981,"Waiting On a Friend","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1982,"Going to a Go-Go","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1976,"Fool to Cry","Hot Rocks - The Greatest Hits 1964-1971"
"The Rolling Stones",1968,"Street Fighting Man","Hot Rocks - The Greatest Hits 1964-1971"
"Lou Reed",1973,"Walk On the Wild Side",Transformer
"Gilbert O'Sullivan",1973,"Get Down","Back To Front"
"Gilbert O'Sullivan",1972,"Alone Again (Naturally)","Back To Front"
"Gilbert O'Sullivan",1972,Clair,"Back To Front"
"Neil Young",1972,"Heart of Gold",Harvest
"The Rolling Stones",1965,"(I Can't Get No) Satisfaction","Exile On Main Street"
"The Rolling Stones",1973,Angie,"Exile On Main Street"
"The Rolling Stones",1969,"Honky Tonk Woman","Exile On Main Street"
"The Rolling Stones",1968,"Jumpin' Jack Flash","Exile On Main Street"
"The Rolling Stones",1966,"Paint it Black","Exile On Main Street"
"The Rolling Stones",1971,"Brown Sugar","Exile On Main Street"
"The Rolling Stones",1978,"Miss You","Exile On Main Street"
"The Rolling Stones",1965,"Get Off of My Cloud","Exile On Main Street"
"The Rolling Stones",1966,"19th Nervous Breakdown","Exile On Main Street"
"The Rolling Stones",1981,"Start Me Up","Exile On Main Street"
"The Rolling Stones",1965,"The Last Time","Exile On Main Street"
"The Rolling Stones",1967,"Ruby Tuesday","Exile On Main Street"
"The Rolling Stones",1967,"Let's Spend the Night Together","Exile On Main Street"
"The Rolling Stones",1980,"Emotional Rescue","Exile On Main Street"
"The Rolling Stones",1972,"Tumbling Dice","Exile On Main Street"
"The Rolling Stones",1989,"Mixed Emotions","Exile On Main Street"
"The Rolling Stones",1983,"Undercover of the Night","Exile On Main Street"
"The Rolling Stones",1997,"Anybody Seen My Baby","Exile On Main Street"
"The Rolling Stones",1964,"Time is On My Side","Exile On Main Street"
"The Rolling Stones",1967,"We Love You","Exile On Main Street"
"The Rolling Stones",1966,"As Tears Go By","Exile On Main Street"
"The Rolling Stones",1966,"Have You Seen Your Mother, Baby","Exile On Main Street"
"The Rolling Stones",1967,"She's a Rainbow","Exile On Main Street"
"The Rolling Stones",1986,"Harlem Shuffle","Exile On Main Street"
"The Rolling Stones",1964,"It's All Over Now","Exile On Main Street"
"The Rolling Stones",1994,"Love is Strong","Exile On Main Street"
"The Rolling Stones",1974,"It's Only Rock 'n' Roll (But I Like It)","Exile On Main Street"
"The Rolling Stones",1981,"Waiting On a Friend","Exile On Main Street"
"The Rolling Stones",1982,"Going to a Go-Go","Exile On Main Street"
"The Rolling Stones",1976,"Fool to Cry","Exile On Main Street"
"The Rolling Stones",1968,"Street Fighting Man","Exile On Main Street"
"Deep Purple",1973,"Smoke On the Water","Machine Head"
"Deep Purple",1970,"Black Night","Machine Head"
"Deep Purple",1968,Hush,"Machine Head"
"Simon & Garfunkel",1970,"Bridge Over Troubled Water","Simon & Garfunkel's Greatest Hits"
"Simon & Garfunkel",1966,"The Sounds of Silence","Simon & Garfunkel's Greatest Hits"
"Simon & Garfunkel",1968,"Mrs Robinson","Simon & Garfunkel's Greatest Hits"
"Simon & Garfunkel",1970,"El Condor Pasa (If I Could)","Simon & Garfunkel's Greatest Hits"
"Simon & Garfunkel",1969,"The Boxer","Simon & Garfunkel's Greatest Hits"
"Simon & Garfunkel",1970,Cecilia,"Simon & Garfunkel's Greatest Hits"
"Simon & Garfunkel",1966,"I am a Rock","Simon & Garfunkel's Greatest Hits"
"Simon & Garfunkel",1966,"Homeward Bound","Simon & Garfunkel's Greatest Hits"
"Don McLean",1972,"American Pie","American Pie"
"Don McLean",1981,Cryin',"American Pie"
"Don McLean",1972,"Vincent (Starry Starry Night)","American Pie"
"David Bowie",1983,"Let's Dance","The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1975,Fame,"The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1973,"Space Oddity","The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1980,"Ashes to Ashes","The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1983,"China Girl","The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1976,"Golden Years","The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1986,"Absolute Beginners","The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1982,"Cat People (Putting Out Fire)","The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1984,"Blue Jean","The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1983,"Modern Love","The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1973,Sorrow,"The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1977,Heroes,"The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1975,"Young Americans","The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
"David Bowie",1993,"Jump They Say","The Rise & Fall Of Ziggy Stardust & The Spiders From Mars"
